Prefixo do veiculo,Data de entrada do veiculo na frota,Quantidade de lugares sentados disponiveis,Linha associada ao veiculo,Modelo do veiculo,Categoria do veiculo
EA008,2012-02-28,28,471,MARCOPOLO TORINO,COMUM
EA013,2012-02-28,28,536,MARCOPOLO TORINO,COMUM
EA017,2012-02-28,28,522,MARCOPOLO TORINO,COMUM
EA006,2012-02-28,28,532,MARCOPOLO TORINO,COMUM
BC020,2012-03-12,27,870,MARCOPOLO TORINO,COMUM
BC019,2012-03-12,27,170,MARCOPOLO TORINO,COMUM
BC017,2012-03-27,27,876,MARCOPOLO TORINO,COMUM
BC015,2012-03-12,27,876,MARCOPOLO TORINO,COMUM
BC014,2012-03-27,27,870,MARCOPOLO TORINO,COMUM
BC013,2012-03-27,27,183,MARCOPOLO TORINO,COMUM
BC011,2012-03-27,27,166,MARCOPOLO TORINO,COMUM
BC024,2012-03-12,27,160,MARCOPOLO TORINO,COMUM
BC025,NULO,27,160,MARCOPOLO TORINO,COMUM
BC026,2012-04-25,27,160,MARCOPOLO TORINO,COMUM
BC007,2012-03-12,27,168,MARCOPOLO TORINO,COMUM
BC010,2012-03-12,27,171,MARCOPOLO TORINO,COMUM
BA037,2012-04-25,28,243,MARCOPOLO TORINO,COMUM
BC005,2012-03-12,27,870,MARCOPOLO TORINO,COMUM
BC006,2012-03-12,27,168,MARCOPOLO TORINO,COMUM
BA027,2012-04-12,28,924,MARCOPOLO TORINO,COMUM
EA009,2012-03-06,28,475,MARCOPOLO TORINO,COMUM
EA014,2012-03-06,28,515,MARCOPOLO TORINO,COMUM
EA020,2012-03-06,28,535,MARCOPOLO TORINO,COMUM
EA021,2012-03-06,28,531,NULO,COMUM
EA016,2012-03-06,28,511,MARCOPOLO TORINO,COMUM
EA018,2012-03-06,28,528,MARCOPOLO TORINO,COMUM
EA025,NULO,28,512,NULO,COMUM
EA019,2012-03-06,28,513,MARCOPOLO TORINO,COMUM
EA022,2012-03-06,28,528,MARCOPOLO TORINO,COMUM
LE708,2012-03-05,54,303,NEOBUS MEGA BRT,BIARTICULADO
LE709,2012-03-05,54,303,NEOBUS MEGA BRT,BIARTICULADO
LE710,2012-03-05,54,303,NEOBUS MEGA BRT,BIARTICULADO
HA028,2012-03-09,28,684,MARCOPOLO TORINO,COMUM
HA027,2012-03-09,28,680,MARCOPOLO TORINO,COMUM
HA026,2012-03-09,28,680,MARCOPOLO TORINO,COMUM
HA023,2012-03-09,28,681,MARCOPOLO TORINO,COMUM
EA011,2012-03-14,28,533,MARCOPOLO TORINO,COMUM
EA026,2012-03-14,28,657,MARCOPOLO TORINO,COMUM
HA617,2012-04-10,39,685,MARCOPOLO VIALE,ARTICULADO
HA618,2012-04-10,39,685,NULO,ARTICULADO
HA614,2012-04-10,39,772,MARCOPOLO VIALE,ARTICULADO
HA612,2012-04-10,39,650,MARCOPOLO VIALE,ARTICULADO
HA611,2012-04-10,39,773,MARCOPOLO VIALE,ARTICULADO
HA616,2012-04-10,39,685,MARCOPOLO VIALE,ARTICULADO
HA619,2012-04-10,39,684,MARCOPOLO VIALE,ARTICULADO
HA615,2012-04-10,39,650,MARCOPOLO VIALE,ARTICULADO
BC311,2012-04-24,27,170,MARCOPOLO VIALE,PADRON
BC307,2012-04-24,27,170,MARCOPOLO VIALE,PADRON
BC304,NULO,27,182,NULO,PADRON
BC309,2012-04-24,27,205,MARCOPOLO VIALE,PADRON
GL326,2012-05-07,20,508,NEOBUS MEGA BRT,PADRON
BC306,2012-04-24,27,205,MARCOPOLO VIALE,PADRON
HA311,2012-05-14,27,712,MARCOPOLO VIALE,PADRON
EA601,2012-07-02,34,528,MARCOPOLO VIALE,ARTICULADO
EA602,2012-07-02,34,535,MARCOPOLO VIALE,ARTICULADO
EA600,2012-07-02,34,528,MARCOPOLO VIALE,ARTICULADO
HA310,NULO,27,712,MARCOPOLO VIALE,PADRON
BC324,2012-04-12,27,207,MARCOPOLO VIALE,PADRON
GL325,2012-05-07,29,506,NEOBUS MEGA BRT,PADRON
BC308,2012-04-24,27,205,MARCOPOLO VIALE,PADRON
KE700,2012-04-17,54,503,NEOBUS MEGA BRT,BIARTICULADO
DC852,2012-05-24,19,464,NEOBUS SPECTRUM,MICROESPECIAL
DC855,2012-05-24,19,465,NEOBUS SPECTRUM,MICROESPECIAL
DC854,2012-05-24,19,477,NEOBUS SPECTRUM,MICROESPECIAL
DC850,2012-05-24,19,477,NEOBUS SPECTRUM,MICROESPECIAL
DA850,2012-05-24,19,331,NEOBUS SPECTRUM,MICROESPECIAL
DC851,2012-05-24,19,461,NEOBUS SPECTRUM,MICROESPECIAL
DE721,2012-05-23,54,303,NEOBUS MEGA BRT,BIARTICULADO
DA033,2012-06-20,28,621,MARCOPOLO TORINO,COMUM
KB603,2012-07-04,38,021,NEOBUS MEGA BRT,ARTICULADO
KB605,2012-07-04,38,021,NEOBUS MEGA BRT,ARTICULADO
KB604,2012-07-04,38,050,NEOBUS MEGA BRT,ARTICULADO
LB600,NULO,39,040,NULO,ARTICULADO
LB601,2012-08-16,39,040,MARCOPOLO VIALE,ARTICULADO
LB602,2012-08-22,39,040,MARCOPOLO VIALE,ARTICULADO
LB603,2012-08-22,39,050,MARCOPOLO VIALE,ARTICULADO
BT010,2012-09-05,67,979,MARCOPOLO VIALE,PADRON
BT009,2012-09-05,67,979,MARCOPOLO VIALE,PADRON
MT013,2012-09-28,67,979,MARCOPOLO VIALE,PADRON
BC319,2012-11-30,26,371,MARCOPOLO VIALE BRT,HIBRIDO
BC317,2012-11-30,26,371,MARCOPOLO VIALE BRT,HIBRIDO
BC316,2012-11-30,26,372,MARCOPOLO VIALE BRT,HIBRIDO
BC315,2012-11-30,26,371,MARCOPOLO VIALE BRT,HIBRIDO
BC314,2012-11-30,26,372,MARCOPOLO VIALE BRT,HIBRIDO
BC312,2012-11-30,26,207,MARCOPOLO VIALE BRT,HIBRIDO
HC301,2012-11-22,26,180,MARCOPOLO VIALE BRT,HIBRIDO BIO
HC300,2012-11-22,26,180,MARCOPOLO VIALE BRT,HIBRIDO BIO
BB303,2012-09-29,26,010,MARCOPOLO VIALE BRT,HIBRIDO
BC313,2012-11-30,26,372,MARCOPOLO VIALE BRT,HIBRIDO
BB302,2012-09-29,26,010,MARCOPOLO VIALE BRT,HIBRIDO
BB308,2012-09-29,26,011,MARCOPOLO VIALE BRT,HIBRIDO
BB307,2012-09-29,26,011,MARCOPOLO VIALE BRT,HIBRIDO
JB302,2012-09-29,26,720,MARCOPOLO VIALE BRT,HIBRIDO
CC302,2012-11-30,26,380,MARCOPOLO VIALE BRT,HIBRIDO
CC300,2012-11-30,26,373,MARCOPOLO VIALE BRT,HIBRIDO
LC301,2012-11-30,26,801,MARCOPOLO VIALE BRT,HIBRIDO
LC302,2012-11-30,26,380,MARCOPOLO VIALE BRT,HIBRIDO
CC301,2012-11-30,26,380,MARCOPOLO VIALE BRT,HIBRIDO
BI026,2020-03-06,26,811,MARCOPOLO TORINO,COMUM
JA036,2017-12-07,27,777,MARCOPOLO TORINO,COMUM
JA030,2017-12-07,27,826,MARCOPOLO TORINO,COMUM
GE723,NULO,54,603,NULO,BIARTICULADO
BE720,2018-03-26,54,200,MARCOPOLO VIALE BRT,BIARTICULADO
BE714,2018-03-26,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
BE712,2018-03-26,54,200,MARCOPOLO VIALE BRT,BIARTICULADO
BE717,2018-03-26,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
BE713,2018-03-26,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
HE715,2018-03-26,54,603,MARCOPOLO VIALE BRT,BIARTICULADO
HE717,2018-03-26,54,603,MARCOPOLO VIALE BRT,BIARTICULADO
HE719,2018-03-26,54,200,MARCOPOLO VIALE BRT,BIARTICULADO
HE720,2018-03-26,54,603,MARCOPOLO VIALE BRT,BIARTICULADO
BE710,2018-03-26,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
BE711,2018-03-26,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
BE708,2018-03-26,54,200,MARCOPOLO VIALE BRT,BIARTICULADO
GE724,2018-03-26,54,550,MARCOPOLO VIALE BRT,BIARTICULADO
BE718,2018-03-26,54,200,MARCOPOLO VIALE BRT,BIARTICULADO
BE721,2018-03-26,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
BE709,2018-03-26,54,200,MARCOPOLO VIALE BRT,BIARTICULADO
BE715,2018-04-16,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
BE716,2018-04-16,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
HE716,2018-04-13,54,603,MARCOPOLO VIALE BRT,BIARTICULADO
HE718,2018-04-13,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
HE714,2018-04-13,54,603,MARCOPOLO VIALE BRT,BIARTICULADO
JB608,2018-05-08,37,706,MARCOPOLO TORINO,ARTICULADO
JB607,2018-05-08,37,050,MARCOPOLO TORINO,ARTICULADO
JB609,2018-05-08,37,040,MARCOPOLO TORINO,ARTICULADO
JI601,2018-05-08,37,826,MARCOPOLO TORINO,ARTICULADO
JI600,2018-05-08,37,545,MARCOPOLO TORINO,ARTICULADO
BE719,2018-04-19,54,203,MARCOPOLO VIALE BRT,BIARTICULADO
JI602,2018-08-02,35,706,MARCOPOLO TORINO,ARTICULADO
JI603,2018-08-02,35,706,MARCOPOLO TORINO,ARTICULADO
JI004,2018-08-02,26,721,NULO,COMUM
JI604,2018-08-02,35,706,MARCOPOLO TORINO,ARTICULADO
JB610,2018-08-02,35,050,MARCOPOLO TORINO,ARTICULADO
JB611,2018-08-02,35,040,MARCOPOLO TORINO,ARTICULADO
HI008,2019-01-07,24,617,CAIO APACHE VIP IV,COMUM
HI004,NULO,24,658,CAIO APACHE VIP IV,COMUM
HI005,2019-01-07,24,658,CAIO APACHE VIP IV,COMUM
HI003,2019-01-07,24,679,CAIO APACHE VIP IV,COMUM
HI001,2019-01-07,24,650,CAIO APACHE VIP IV,COMUM
HI002,2019-01-07,24,680,CAIO APACHE VIP IV,COMUM
GI004,2019-01-07,24,548,CAIO APACHE VIP IV,COMUM
GI007,2019-01-07,24,548,CAIO APACHE VIP IV,COMUM
GI008,2019-01-07,24,683,CAIO APACHE VIP IV,COMUM
GI003,2019-01-07,24,552,CAIO APACHE VIP IV,COMUM
GI006,2019-01-07,24,636,CAIO APACHE VIP IV,COMUM
GI005,2019-01-07,24,547,CAIO APACHE VIP IV,COMUM
BI861,2019-01-28,16,266,MARCOPOLO TORINO,MICROESPECIAL
BI881,2019-01-28,16,385,MARCOPOLO TORINO,MICROESPECIAL
BI869,2019-01-28,16,260,NULO,MICROESPECIAL
BI879,2019-01-28,16,311,MARCOPOLO TORINO,MICROESPECIAL
BI863,2019-01-28,16,274,MARCOPOLO TORINO,MICROESPECIAL
BI857,2019-01-28,16,212,MARCOPOLO TORINO,MICROESPECIAL
BI866,2019-01-28,16,275,MARCOPOLO TORINO,MICROESPECIAL
BI868,2019-01-28,16,274,MARCOPOLO TORINO,MICROESPECIAL
BI877,2019-01-28,16,361,MARCOPOLO TORINO,MICROESPECIAL
BI853,2019-01-28,16,875,MARCOPOLO TORINO,MICROESPECIAL
BI878,2019-01-28,16,280,MARCOPOLO TORINO,MICROESPECIAL
BI876,2019-01-28,16,266,MARCOPOLO TORINO,MICROESPECIAL
BI856,2019-01-28,16,212,NULO,MICROESPECIAL
BI882,2019-01-28,16,188,MARCOPOLO TORINO,MICROESPECIAL
BI880,2019-01-28,16,275,MARCOPOLO TORINO,MICROESPECIAL
BI850,2019-01-25,16,176,MARCOPOLO TORINO,MICROESPECIAL
BI864,2019-01-28,16,213,MARCOPOLO TORINO,MICROESPECIAL
BI873,2019-01-28,16,184,MARCOPOLO TORINO,MICROESPECIAL
BI871,2019-01-28,16,280,MARCOPOLO TORINO,MICROESPECIAL
BI865,2019-01-28,16,272,MARCOPOLO TORINO,MICROESPECIAL
BI855,2019-01-28,16,169,MARCOPOLO TORINO,MICROESPECIAL
BI858,2019-01-28,16,889,MARCOPOLO TORINO,MICROESPECIAL
BI860,2019-01-28,16,213,MARCOPOLO TORINO,MICROESPECIAL
BI854,2019-01-28,16,150,MARCOPOLO TORINO,MICROESPECIAL
BI851,NULO,16,175,NULO,MICROESPECIAL
BI852,NULO,16,164,NULO,MICROESPECIAL
GI021,2019-01-29,24,639,CAIO APACHE VIP IV,COMUM
GI025,2019-01-29,24,534,CAIO APACHE VIP IV,COMUM
GI019,2019-01-29,24,643,CAIO APACHE VIP IV,COMUM
GI023,2019-01-29,24,663,CAIO APACHE VIP IV,COMUM
GI026,2019-01-29,24,639,CAIO APACHE VIP IV,COMUM
GI027,2019-01-29,24,631,CAIO APACHE VIP IV,COMUM
GI020,2019-01-29,24,542,CAIO APACHE VIP IV,COMUM
GI022,2019-01-29,24,649,CAIO APACHE VIP IV,COMUM
GI018,2019-01-29,24,643,CAIO APACHE VIP IV,COMUM
GI009,2019-01-29,24,542,CAIO APACHE VIP IV,COMUM
GI010,2019-01-29,24,633,CAIO APACHE VIP IV,COMUM
GI016,2019-01-29,24,649,CAIO APACHE VIP IV,COMUM
GI017,2019-01-29,24,639,CAIO APACHE VIP IV,COMUM
GI014,2019-01-29,24,638,CAIO APACHE VIP IV,COMUM
GI011,2019-01-29,24,636,CAIO APACHE VIP IV,COMUM
HI013,2019-02-08,24,609,CAIO APACHE VIP IV,COMUM
HI009,2019-02-08,24,658,CAIO APACHE VIP IV,COMUM
HI012,NULO,24,690,CAIO APACHE VIP IV,COMUM
HI014,2019-02-08,24,630,NULO,COMUM
HI016,2019-02-08,24,617,CAIO APACHE VIP IV,COMUM
CI002,2019-02-13,24,222,CAIO APACHE VIP,COMUM
CI004,2019-02-13,24,341,CAIO APACHE VIP,COMUM
CI001,2019-02-13,24,375,CAIO APACHE VIP,COMUM
CI006,2019-02-13,24,222,CAIO APACHE VIP,COMUM
CI005,2019-02-13,24,341,CAIO APACHE VIP,COMUM
GI853,2019-02-14,16,666,CAIO APACHE VIP,MICROESPECIAL
GI850,2019-02-14,16,689,CAIO APACHE VIP,MICROESPECIAL
HI850,2019-02-14,16,265,CAIO APACHE VIP,MICROESPECIAL
HI853,2019-02-14,16,644,CAIO APACHE VIP,MICROESPECIAL
HI858,2019-02-14,16,670,CAIO APACHE VIP,MICROESPECIAL
HI856,2019-02-14,16,671,CAIO APACHE VIP,MICROESPECIAL
HI857,2019-02-14,16,670,CAIO APACHE VIP,MICROESPECIAL
HI854,2019-02-14,16,209,CAIO APACHE VIP,MICROESPECIAL
HI851,2019-02-14,16,600,CAIO APACHE VIP,MICROESPECIAL
HI855,2019-02-14,16,673,CAIO APACHE VIP,MICROESPECIAL
BI005,NULO,22,374,MARCOPOLO TORINO,COMUM
BI002,2019-02-21,22,211,MARCOPOLO TORINO,COMUM
BI006,2019-02-21,22,374,MARCOPOLO TORINO,COMUM
BI009,2019-02-21,22,341,MARCOPOLO TORINO,COMUM
BI003,2019-02-21,22,211,MARCOPOLO TORINO,COMUM
BI001,2019-02-21,22,211,MARCOPOLO TORINO,COMUM
BI004,2019-02-21,22,211,MARCOPOLO TORINO,COMUM
BI007,2019-02-21,22,374,MARCOPOLO TORINO,COMUM
HI606,NULO,35,684,NULO,ARTICULADO
HI603,NULO,35,684,NULO,ARTICULADO
HI602,2019-03-25,35,646,CAIO MILLENNIUM,ARTICULADO
HI605,2019-03-25,35,772,CAIO MILLENNIUM,ARTICULADO
HI608,2019-03-25,35,619,CAIO MILLENNIUM,ARTICULADO
HI604,2019-03-25,35,684,CAIO MILLENNIUM,ARTICULADO
HI607,2019-03-25,35,772,CAIO MILLENNIUM,ARTICULADO
BL600,2019-04-16,37,022,MARCOPOLO TORINO,ARTICULADO
BL340,NULO,24,022,NULO,PADRON
*B607,2019-03-21,35,021,CAIO MILLENNIUM,ARTICULADO
*B608,2019-03-21,35,060,CAIO MILLENNIUM,ARTICULADO
GE734,2019-04-09,49,550,CAIO MILLENNIUM BRT,BIARTICULADO
GE732,2019-04-09,49,602,CAIO MILLENNIUM BRT,BIARTICULADO
GE731,2019-04-09,49,602,CAIO MILLENNIUM BRT,BIARTICULADO
BE723,2019-03-27,53,200,MARCOPOLO VIALE BRT,BIARTICULADO
BE724,2019-03-27,53,200,MARCOPOLO VIALE BRT,BIARTICULADO
BE722,2019-03-27,53,203,MARCOPOLO VIALE BRT,BIARTICULADO
BB621,2019-04-17,33,020,MARCOPOLO TORINO,ARTICULADO
GE601,2019-04-08,40,503,CAIO MILLENNIUM BRT,ARTICULADO
BL602,2019-04-16,35,022,MARCOPOLO TORINO,ARTICULADO
GE728,2019-04-09,53,500,CAIO MILLENNIUM BRT,BIARTICULADO
GE727,2019-04-09,53,603,CAIO MILLENNIUM BRT,BIARTICULADO
GE725,2019-04-09,53,603,CAIO MILLENNIUM BRT,BIARTICULADO
GE726,NULO,53,200,CAIO MILLENNIUM BRT,BIARTICULADO
BL606,2019-04-16,35,022,MARCOPOLO TORINO,ARTICULADO
BL601,2019-04-16,35,022,MARCOPOLO TORINO,ARTICULADO
BL603,2019-04-16,35,023,MARCOPOLO TORINO,ARTICULADO
BL605,2019-04-16,35,023,MARCOPOLO TORINO,ARTICULADO
BL604,2019-04-16,35,022,MARCOPOLO TORINO,ARTICULADO
BI600,2019-04-17,33,216,MARCOPOLO TORINO,ARTICULADO
BL610,2019-04-24,35,022,MARCOPOLO TORINO,ARTICULADO
*L602,2019-04-24,41,023,MARCOPOLO TORINO,ARTICULADO
BL608,2019-04-24,35,023,MARCOPOLO TORINO,ARTICULADO
BL607,2019-04-24,35,022,MARCOPOLO TORINO,ARTICULADO
BL609,2019-04-24,35,022,MARCOPOLO TORINO,ARTICULADO
*L600,2019-04-24,41,023,MARCOPOLO TORINO,ARTICULADO
BL611,2019-04-24,35,023,MARCOPOLO TORINO,ARTICULADO
*L601,2019-04-24,41,023,MARCOPOLO TORINO,ARTICULADO
HE730,2019-04-26,53,200,CAIO MILLENNIUM BRT,BIARTICULADO
HE729,NULO,53,502,CAIO MILLENNIUM BRT,BIARTICULADO
HE723,2019-04-26,53,603,CAIO MILLENNIUM BRT,BIARTICULADO
HE724,2019-04-26,53,550,CAIO MILLENNIUM BRT,BIARTICULADO
HE725,2019-04-26,53,502,NULO,BIARTICULADO
HE728,2019-04-26,53,602,CAIO MILLENNIUM BRT,BIARTICULADO
HE726,2019-04-26,53,502,CAIO MILLENNIUM BRT,BIARTICULADO
HE721,2019-04-26,53,550,CAIO MILLENNIUM BRT,BIARTICULADO
HE727,2019-04-26,53,603,CAIO MILLENNIUM BRT,BIARTICULADO
HE722,2019-04-26,53,550,CAIO MILLENNIUM BRT,BIARTICULADO
GB609,2019-04-29,37,040,CAIO MILLENNIUM,ARTICULADO
GB612,2019-04-29,37,030,CAIO MILLENNIUM,ARTICULADO
GB611,2019-04-29,37,040,CAIO MILLENNIUM,ARTICULADO
HE611,2019-05-10,40,NULO,CAIO MILLENNIUM BRT,ARTICULADO
HE610,2019-05-10,40,NULO,CAIO MILLENNIUM BRT,ARTICULADO
HE608,2019-05-10,40,NULO,CAIO MILLENNIUM BRT,ARTICULADO
HE609,2019-05-10,40,NULO,CAIO MILLENNIUM BRT,ARTICULADO
HE612,2019-05-10,40,NULO,CAIO MILLENNIUM BRT,ARTICULADO
GI300,2019-05-13,25,528,CAIO MILLENNIUM,PADRON
KB608,2019-05-23,37,030,CAIO MILLENNIUM,ARTICULADO
KB606,2019-05-23,37,030,CAIO MILLENNIUM,ARTICULADO
KB607,2019-05-23,37,027,CAIO MILLENNIUM,ARTICULADO
KE708,2019-05-23,53,502,CAIO MILLENNIUM BRT,BIARTICULADO
KE703,2019-05-23,53,502,CAIO MILLENNIUM BRT,BIARTICULADO
KE701,NULO,53,503,NULO,BIARTICULADO
KE702,2019-05-23,53,502,CAIO MILLENNIUM BRT,BIARTICULADO
KE706,2019-05-23,53,502,CAIO MILLENNIUM BRT,BIARTICULADO
KI600,2019-05-23,37,629,CAIO MILLENNIUM,ARTICULADO
KE707,2019-05-23,53,502,CAIO MILLENNIUM BRT,BIARTICULADO
KI601,2019-05-23,37,545,CAIO MILLENNIUM,ARTICULADO
HL600,2019-05-13,34,022,CAIO MILLENNIUM,ARTICULADO
*L603,2019-05-17,41,022,NULO,ARTICULADO
CL600,2019-05-17,34,023,CAIO MILLENNIUM,ARTICULADO
LI002,2019-05-28,26,652,MARCOPOLO TORINO,COMUM
LI001,2019-05-28,26,652,MARCOPOLO TORINO,COMUM
*L313,2019-05-28,24,024,MARCOPOLO TORINO,PADRON
LI003,2019-05-28,26,828,MARCOPOLO TORINO,COMUM
*L317,2019-05-28,24,304,MARCOPOLO TORINO,PADRON
*L315,2019-05-30,24,304,NULO,PADRON
*L320,2019-05-30,24,304,MARCOPOLO TORINO,PADRON
*L319,2019-05-30,24,304,MARCOPOLO TORINO,PADRON
*L316,2019-05-30,24,304,MARCOPOLO TORINO,PADRON
*L311,2019-05-30,24,304,MARCOPOLO TORINO,PADRON
*L310,2019-06-07,24,304,NULO,PADRON
LI853,2019-10-04,16,809,MARCOPOLO TORINO,MICROESPECIAL
LI852,2019-10-04,16,NULO,MARCOPOLO TORINO,MICROESPECIAL
LI850,2019-10-04,16,674,MARCOPOLO TORINO,MICROESPECIAL
LI851,NULO,16,865,MARCOPOLO TORINO,MICROESPECIAL
LI854,2019-10-17,16,814,MARCOPOLO TORINO,MICROESPECIAL
JI008,2020-02-10,26,831,MARCOPOLO TORINO,COMUM
JI012,2020-02-11,26,712,MARCOPOLO TORINO,COMUM
JI013,2020-02-11,26,611,MARCOPOLO TORINO,COMUM
JI007,2020-02-07,26,658,MARCOPOLO TORINO,COMUM
JI014,2020-02-11,26,712,MARCOPOLO TORINO,COMUM
JI009,2020-02-10,26,777,MARCOPOLO TORINO,COMUM
JI011,2020-02-11,26,611,MARCOPOLO TORINO,COMUM
JI005,NULO,26,658,NULO,COMUM
GI856,2020-02-14,16,665,CAIO APACHE VIP IV,MICROESPECIAL
GI857,2020-02-14,16,662,CAIO APACHE VIP IV,MICROESPECIAL
GI855,2020-02-14,16,661,CAIO APACHE VIP IV,MICROESPECIAL
GI858,2020-02-14,16,616,CAIO APACHE VIP IV,MICROESPECIAL
GI859,2020-02-14,16,661,CAIO APACHE VIP IV,MICROESPECIAL
GI854,2020-02-14,16,662,CAIO APACHE VIP IV,MICROESPECIAL
GI050,2020-02-10,24,548,CAIO APACHE VIP IV,COMUM
GI049,2020-02-07,24,642,CAIO APACHE VIP IV,COMUM
GI051,2020-02-13,24,542,CAIO APACHE VIP IV,COMUM
GI055,2020-02-07,24,541,CAIO APACHE VIP IV,COMUM
GI056,2020-02-10,24,638,CAIO APACHE VIP IV,COMUM
GI057,2020-02-10,24,635,CAIO APACHE VIP IV,COMUM
GI028,2020-02-03,24,534,NULO,COMUM
GI029,NULO,24,624,NULO,COMUM
GI031,2020-02-03,24,541,CAIO APACHE VIP IV,COMUM
GI032,2020-02-07,24,541,CAIO APACHE VIP IV,COMUM
GI053,2020-02-10,24,548,CAIO APACHE VIP IV,COMUM
GI048,2020-02-07,24,640,CAIO APACHE VIP IV,COMUM
GI042,2020-02-10,24,548,CAIO APACHE VIP IV,COMUM
GI039,2020-02-10,24,625,NULO,COMUM
GI034,2020-02-07,24,635,CAIO APACHE VIP IV,COMUM
GI040,2020-02-07,24,625,CAIO APACHE VIP IV,COMUM
GI037,NULO,24,625,NULO,COMUM
GI030,2020-02-03,24,541,CAIO APACHE VIP IV,COMUM
GI033,2020-02-07,24,541,CAIO APACHE VIP IV,COMUM
GI035,2020-02-07,24,625,CAIO APACHE VIP IV,COMUM
GI038,2020-02-10,24,633,CAIO APACHE VIP IV,COMUM
GI041,2020-02-10,24,643,CAIO APACHE VIP IV,COMUM
GI043,2020-02-07,24,625,NULO,COMUM
GI044,2020-02-07,24,552,CAIO APACHE VIP IV,COMUM
GI045,2020-02-07,24,637,CAIO APACHE VIP IV,COMUM
GI046,2020-02-10,24,641,CAIO APACHE VIP IV,COMUM
GI047,2020-02-10,24,528,CAIO APACHE VIP IV,COMUM
HI036,2020-02-11,24,653,CAIO APACHE VIP IV,COMUM
HI037,2020-02-04,24,655,CAIO APACHE VIP IV,COMUM
HI038,2020-02-04,24,772,CAIO APACHE VIP IV,COMUM
HI035,NULO,24,653,CAIO APACHE VIP IV,COMUM
HI034,2020-02-05,24,628,CAIO APACHE VIP IV,COMUM
HI032,2020-02-04,24,650,CAIO APACHE VIP IV,COMUM
HI031,2020-02-11,24,650,CAIO APACHE VIP IV,COMUM
HI030,2020-02-04,24,627,CAIO APACHE VIP IV,COMUM
HI033,2020-02-11,24,680,NULO,COMUM
HI027,2020-02-04,24,630,CAIO APACHE VIP IV,COMUM
HI026,2020-02-04,24,680,CAIO APACHE VIP IV,COMUM
HI025,2020-02-04,24,655,CAIO APACHE VIP IV,COMUM
HI024,2020-02-03,24,659,CAIO APACHE VIP IV,COMUM
HI023,2020-02-03,24,619,CAIO APACHE VIP IV,COMUM
HI022,2020-02-04,24,772,CAIO APACHE VIP IV,COMUM
HI021,2020-02-03,24,646,CAIO APACHE VIP IV,COMUM
HI017,2020-02-03,24,650,CAIO APACHE VIP IV,COMUM
HI029,2020-02-05,24,646,CAIO APACHE VIP IV,COMUM
HI018,2020-02-11,24,650,CAIO APACHE VIP IV,COMUM
HI020,2020-02-03,24,617,CAIO APACHE VIP IV,COMUM
HI019,2020-02-03,24,772,CAIO APACHE VIP IV,COMUM
HI028,2020-02-04,24,617,CAIO APACHE VIP IV,COMUM
JI850,2020-03-27,16,711,MARCOPOLO TORINO,MICROESPECIAL
GI600,2020-04-08,33,545,MARCOPOLO TORINO,ARTICULADO
GI602,2020-04-08,33,545,MARCOPOLO TORINO,ARTICULADO
JI019,2020-03-05,26,721,MARCOPOLO TORINO,COMUM
JI015,2020-02-28,26,828,MARCOPOLO TORINO,COMUM
JI020,2020-03-20,26,611,MARCOPOLO TORINO,COMUM
JI861,2020-02-28,16,716,MARCOPOLO TORINO,MICROESPECIAL
JI862,2020-04-02,16,713,MARCOPOLO TORINO,MICROESPECIAL
JI851,2020-04-02,16,788,MARCOPOLO TORINO,MICROESPECIAL
JI864,2020-02-28,16,711,MARCOPOLO TORINO,MICROESPECIAL
JI865,2020-03-27,16,761,MARCOPOLO TORINO,MICROESPECIAL
JI860,2020-04-02,16,779,MARCOPOLO TORINO,MICROESPECIAL
JI866,2020-03-27,16,762,MARCOPOLO TORINO,MICROESPECIAL
JI852,2020-03-27,16,789,MARCOPOLO TORINO,MICROESPECIAL
JI858,2020-02-28,16,760,MARCOPOLO TORINO,MICROESPECIAL
JI854,2020-03-27,16,762,MARCOPOLO TORINO,MICROESPECIAL
JI857,2020-03-27,16,760,MARCOPOLO TORINO,MICROESPECIAL
JI855,NULO,16,761,NULO,MICROESPECIAL
JI017,2020-04-02,26,777,MARCOPOLO TORINO,COMUM
JI016,2020-02-28,26,718,MARCOPOLO TORINO,COMUM
JI021,2020-02-28,26,828,MARCOPOLO TORINO,COMUM
JI023,2020-02-28,26,831,MARCOPOLO TORINO,COMUM
JI022,NULO,26,658,NULO,COMUM
HI047,2020-02-28,26,622,MARCOPOLO TORINO,COMUM
HI049,2020-02-28,26,773,MARCOPOLO TORINO,COMUM
HI044,2020-02-28,26,628,MARCOPOLO TORINO,COMUM
HI045,2020-02-28,26,612,MARCOPOLO TORINO,COMUM
HI042,2020-02-28,26,654,MARCOPOLO TORINO,COMUM
HI048,2020-03-13,26,627,MARCOPOLO TORINO,COMUM
HI046,2020-02-28,26,615,MARCOPOLO TORINO,COMUM
HI041,2020-03-13,26,654,MARCOPOLO TORINO,COMUM
